topic,description,difficulty,remark,subfield,geometric_structure_data
Pythagorean_Theorem,"In a right triangle, the square of the hypotenuse equals the sum of the squares of the other two legs. If the legs are a and b and the hypotenuse is c, then a² + b² = c².",Easy,A foundational result in Euclidean geometry; frequently used for distance computation and right-triangle solving.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Pythagorean_Theorem; mode=hypothesized; source=canonical_template; confidence=0.60; steps=6; OBJ_1=right_triangle; P: O(0,0,0)[right_angle_vertex], U(0,2,0)[leg_endpoint], R(2,0,0)[leg_endpoint]; E: OU(O,U,L=2.0,type=leg), OR(O,R,L=2.0,type=leg), UR(U,R,L=2.8284271247461903,type=hypotenuse); REL: perpendicular(OU,OR,at=O), hypotenuse_opposite_right_angle(UR,right_angle_at=O); M: a=|OU|=2.0, b=|OR|=2.0, c=|UR|=2.8284271247461903; OPS: pt(O,0,0,0), pt(U,0,2,0), pt(R,2,0,0), ed(OU,O,U), ed(OR,O,R), ed(UR,U,R); DERIVED: a2+b2=8.0, c2=8.0, holds=true."
Properties_of_a_Kite_Quadrilateral,"A kite is a quadrilateral with two pairs of adjacent equal sides. Typical properties include: (1) two pairs of adjacent equal sides, (2) perpendicular diagonals, (3) one diagonal bisects the other, (4) one pair of opposite angles is equal, and (5) area S = 1/2 · d1 · d2, where d1 and d2 are diagonal lengths.",Easy,"Common in geometry proofs and problem-solving, especially involving diagonals, symmetry, and area computation.",Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Properties_of_a_Kite_Quadrilateral; mode=hypothesized; source=canonical_template; confidence=0.60; steps=10; OBJ_1=kite_quadrilateral; P: T(0,1,0), R(1,0.5,0), B(0,-1,0), L(-1,0.5,0); E: TR(T,R,L=1.118033988749895,type=side), RB(R,B,L=1.8027756377319946,type=side), BL(B,L,L=1.8027756377319946,type=side), LT(L,T,L=1.118033988749895,type=side); D: TB(T,B,L=2.0,type=diagonal), RL(R,L,L=2.0,type=diagonal); P: I(0,0.5,0)[diag_intersection]; REL: adjacent_equal(TR,LT), adjacent_equal(RB,BL), perpendicular(TB,RL,at=I), bisect(RL,TB,at=I), opposite_angles_equal(at=R,at2=L); AREA: S=0.5*d1*d2, d1=|TB|=2.0, d2=|RL|=2.0, S=2.0; COND: circumcircle_only_if(rhombus_or_square), incircle_only_if(square_kite); OPS: pt(T,0,1,0), pt(R,1,0.5,0), pt(B,0,-1,0), pt(L,-1,0.5,0), ed(TR,T,R), ed(RB,R,B), ed(BL,B,L), ed(LT,L,T), ed(TB,T,B), ed(RL,R,L)."
Eulers_Formula,"Euler's formula links complex exponentials and trigonometric functions: e^(ix) = cos(x) + i·sin(x), where i² = −1 and x is real. A special case is Euler's identity: e^(iπ) + 1 = 0.",Easy,"A central identity in complex analysis; widely used in signal processing, physics, and engineering mathematics.",Complex Analysis,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Eulers_Formula; mode=hypothesized; source=canonical_template; confidence=0.55; steps=10; OBJ_1=axes(complex_plane); P: X1(-3,0,0), X2(3,0,0), Y1(0,-3,0), Y2(0,3,0), O(0,0,0); E: XAXIS(X1,X2,L=6.0,type=x_axis), YAXIS(Y1,Y2,L=6.0,type=y_axis); REL: perpendicular(XAXIS,YAXIS,at=O); OBJ_2=unit_circle_approx; P: E(1,0,0), N(0,1,0), W(-1,0,0), S(0,-1,0); REL: circle(center=O,r=1.0,approx_by_points=E,N,W,S); OBJ_3=formula_box; BOX: C(0,-2.2,0), w=7.2, h=1.6; TEXT: A(0,-2.2,0), align=center, content='e^(ix)=cos(x)+i·sin(x)'; OPS: create_axes(O), create_circle(O,r=1.0), create_box(C=0,-2.2,0,w=7.2,h=1.6), place_text(A=0,-2.2,0)."
Laws_of_Exponents,"The laws of exponents provide algebraic rules for simplifying expressions with powers, such as product, quotient, and power-of-a-power rules.",Easy,Frequently used for algebraic simplification and as a prerequisite for logarithms and exponential functions.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Laws_of_Exponents; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=7.2, h=2.0; P: TL(-3.6,1.0,0), TR(3.6,1.0,0), BR(3.6,-1.0,0), BL(-3.6,-1.0,0); E: TOP(TL,TR,L=7.2,type=box_edge), RIGHT(TR,BR,L=2.0,type=box_edge), BOTTOM(BR,BL,L=7.2,type=box_edge), LEFT(BL,TL,L=2.0,type=box_edge); TEXT: A(0,0,0), align=center, content='Exponent laws (symbolic rules)'; OPS: create_box(C=0,0,0,w=7.2,h=2.0), place_text(A=0,0,0)."
Injective_Function_One_to_One_Function,"An injective (one-to-one) function maps distinct inputs to distinct outputs, meaning no two different inputs share the same output value.",Easy,A standard concept in functions; often used to ensure the existence of an inverse function.,Functions,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Injective_Function_One_to_One_Function; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=7.6, h=2.2; P: TL(-3.8,1.1,0), TR(3.8,1.1,0), BR(3.8,-1.1,0), BL(-3.8,-1.1,0); E: TOP(TL,TR,L=7.6,type=box_edge), RIGHT(TR,BR,L=2.2,type=box_edge), BOTTOM(BR,BL,L=7.6,type=box_edge), LEFT(BL,TL,L=2.2,type=box_edge); TEXT: A(0,0,0), align=center, content='Injective: distinct inputs -> distinct outputs'; OPS: create_box(C=0,0,0,w=7.6,h=2.2), place_text(A=0,0,0)."
Inverse_Function,"For a one-to-one function f, its inverse f⁻¹ satisfies f⁻¹(f(x)) = x and f(f⁻¹(x)) = x, meaning each operation reverses the other.",Easy,Core for function transformations and solving equations; requires f to be one-to-one on the domain considered.,Functions,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Inverse_Function; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=7.8, h=2.4; P: TL(-3.9,1.2,0), TR(3.9,1.2,0), BR(3.9,-1.2,0), BL(-3.9,-1.2,0); E: TOP(TL,TR,L=7.8,type=box_edge), RIGHT(TR,BR,L=2.4,type=box_edge), BOTTOM(BR,BL,L=7.8,type=box_edge), LEFT(BL,TL,L=2.4,type=box_edge); TEXT: A(0,0,0), align=center, content='f^{-1}(f(x))=x; f(f^{-1}(x))=x'; OPS: create_box(C=0,0,0,w=7.8,h=2.4), place_text(A=0,0,0)."
Remainder_Theorem,"When a polynomial p(x) is divided by (x − a), the remainder equals p(a).",Easy,Often paired with the Factor Theorem for root checking and polynomial factorization.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Remainder_Theorem; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=7.6, h=2.0; P: TL(-3.8,1.0,0), TR(3.8,1.0,0), BR(3.8,-1.0,0), BL(-3.8,-1.0,0); E: TOP(TL,TR,L=7.6,type=box_edge), RIGHT(TR,BR,L=2.0,type=box_edge), BOTTOM(BR,BL,L=7.6,type=box_edge), LEFT(BL,TL,L=2.0,type=box_edge); TEXT: A(0,0,0), align=center, content='Divide p(x) by (x-a): remainder = p(a)'; OPS: create_box(C=0,0,0,w=7.6,h=2.0), place_text(A=0,0,0)."
Rational_Root_Theorem,The rational root theorem lists possible rational zeros of a polynomial by relating them to factors of the constant term and the leading coefficient.,Easy,Useful for quickly narrowing candidate roots before performing synthetic division or factorization.,Algebra,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Rational_Root_Theorem; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=8.0, h=2.2; P: TL(-4.0,1.1,0), TR(4.0,1.1,0), BR(4.0,-1.1,0), BL(-4.0,-1.1,0); E: TOP(TL,TR,L=8.0,type=box_edge), RIGHT(TR,BR,L=2.2,type=box_edge), BOTTOM(BR,BL,L=8.0,type=box_edge), LEFT(BL,TL,L=2.2,type=box_edge); TEXT: A(0,0,0), align=center, content='Possible rational roots from factors of constant/leading coeff'; OPS: create_box(C=0,0,0,w=8.0,h=2.2), place_text(A=0,0,0)."
Product_to_Sum_Formulas,Product-to-sum formulas are trigonometric identities that rewrite a product of sine and/or cosine terms as a sum or difference.,Easy,Commonly used to simplify trigonometric expressions and to compute integrals involving trig products.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Product_to_Sum_Formulas; mode=hypothesized; source=formula_box_template; confidence=0.50; steps=2; OBJ_1=formula_box; BOX: C(0,0,0), w=8.0, h=2.2; P: TL(-4.0,1.1,0), TR(4.0,1.1,0), BR(4.0,-1.1,0), BL(-4.0,-1.1,0); E: TOP(TL,TR,L=8.0,type=box_edge), RIGHT(TR,BR,L=2.2,type=box_edge), BOTTOM(BR,BL,L=8.0,type=box_edge), LEFT(BL,TL,L=2.2,type=box_edge); TEXT: A(0,0,0), align=center, content='Convert product of trig functions to sum/difference'; OPS: create_box(C=0,0,0,w=8.0,h=2.2), place_text(A=0,0,0)."
Herons_Formula,"Heron's formula computes the area of a triangle from its side lengths. Let s=(a+b+c)/2, then Area = sqrt(s(s−a)(s−b)(s−c)).",Easy,Useful when side lengths are known but height is not directly available; appears frequently in geometry and contest problems.,Geometry,"schema=geo-kp-edge-1.0; unit=manim_unit; topic=Herons_Formula; mode=hypothesized; source=formula_box_template; confidence=0.55; steps=2; OBJ_1=formula_box; BOX: C(0,-0.2,0), w=8.2, h=2.4; P: TL(-4.1,1.0,0), TR(4.1,1.0,0), BR(4.1,-1.4,0), BL(-4.1,-1.4,0); E: TOP(TL,TR,L=8.2,type=box_edge), RIGHT(TR,BR,L=2.4,type=box_edge), BOTTOM(BR,BL,L=8.2,type=box_edge), LEFT(BL,TL,L=2.4,type=box_edge); TEXT: A(0,-0.2,0), align=center, content='s=(a+b+c)/2; Area=sqrt(s(s-a)(s-b)(s-c))'; OPS: create_box(C=0,-0.2,0,w=8.2,h=2.4), place_text(A=0,-0.2,0)."
